,loan_amnt,funded_amnt,funded_amnt_inv,installment,grade,sub_grade,home_ownership,annual_inc,loan_status
0,5000.0,5000.0,4975.0,162.87,2,7,0,24000.0,1
1,2500.0,2500.0,2500.0,59.83,3,13,0,30000.0,0
2,2400.0,2400.0,2400.0,84.33,3,15,0,12252.0,1
3,10000.0,10000.0,10000.0,339.31,3,5,0,49200.0,1
5,5000.0,5000.0,5000.0,156.46,1,1,0,36000.0,1
6,7000.0,7000.0,7000.0,170.08,3,15,0,47004.0,1
7,3000.0,3000.0,3000.0,109.43,5,20,0,48000.0,1
8,5600.0,5600.0,5600.0,152.39,6,26,2,40000.0,0
9,5375.0,5375.0,5350.0,121.45,2,2,0,15000.0,0
10,6500.0,6500.0,6500.0,153.45,3,10,2,72000.0,1
11,12000.0,12000.0,12000.0,402.54,2,2,2,75000.0,1
12,9000.0,9000.0,9000.0,305.38,3,5,0,30000.0,0
13,3000.0,3000.0,3000.0,96.68,2,8,0,15000.0,1
14,10000.0,10000.0,10000.0,325.74,2,7,0,100000.0,0
15,1000.0,1000.0,1000.0,35.31,4,18,0,28000.0,1
16,10000.0,10000.0,10000.0,347.98,3,13,0,42000.0,1
17,3600.0,3600.0,3600.0,109.57,1,16,1,110000.0,1
18,6000.0,6000.0,6000.0,198.46,2,0,1,84000.0,1
19,9200.0,9200.0,9200.0,280.01,1,16,0,77385.19,1
20,20250.0,20250.0,19142.16108,484.63,3,13,0,43370.0,1
21,21000.0,21000.0,21000.0,701.73,2,4,0,105000.0,0
22,10000.0,10000.0,10000.0,330.76,2,0,2,50000.0,1
23,10000.0,10000.0,10000.0,330.76,2,0,0,50000.0,1
24,6000.0,6000.0,6000.0,198.46,2,0,0,76000.0,0
25,15000.0,15000.0,15000.0,483.38,2,8,1,92000.0,1
26,15000.0,15000.0,8725.0,514.64,3,6,0,60000.0,0
27,5000.0,5000.0,5000.0,123.65,4,12,0,50004.0,0
28,4000.0,4000.0,4000.0,132.31,2,0,1,106000.0,1
29,8500.0,8500.0,8500.0,281.15,2,0,0,25000.0,1
30,4375.0,4375.0,4375.0,136.11,1,9,1,17108.0,1
31,31825.0,31825.0,31825.0,995.82,1,1,1,75000.0,1
33,5000.0,5000.0,5000.0,158.77,1,3,0,24044.0,1
34,7000.0,7000.0,7000.0,245.97,3,15,0,34000.0,1
35,12400.0,12400.0,12400.0,403.91,2,7,0,41000.0,1
36,10800.0,10800.0,10800.0,348.03,2,8,0,55596.0,1
37,15000.0,15000.0,15000.0,469.36,1,1,0,45000.0,1
38,6000.0,6000.0,6000.0,200.5,2,4,0,36852.0,1
40,9600.0,9600.0,9600.0,298.67,1,9,0,68004.0,1
41,12000.0,12000.0,12000.0,375.49,1,1,0,62300.0,1
42,3000.0,3000.0,3000.0,108.84,4,19,1,65000.0,1
43,4400.0,4400.0,4400.0,156.37,4,12,0,55000.0,1
44,6000.0,6000.0,6000.0,182.62,1,16,1,45600.0,1
45,14000.0,14000.0,14000.0,451.15,2,8,0,80000.0,1
